"gene","Basal-Atypical","Classical-Atypical","Classical-Basal","Mesenchymal-Atypical","Mesenchymal-Basal","Mesenchymal-Classical","mean-Atypical","mean-Basal","mean-Classical","mean-Mesenchymal","SEM-Atypical","SEM-Basal","SEM-Classical","SEM-Mesenchymal","Q1-Atypical","Q1-Basal","Q1-Classical","Q1-Mesenchymal","Q3-Atypical","Q3-Basal","Q3-Classical","Q3-Mesenchymal","meanHealthy","meanTumor","medianHealthy","medianTumor","Q1healthy","Q3healthy","Q1tumor","Q3tumor","SEMhealthy","SEMtumor","foldChangeMean","foldChangeMedian","log2FoldChangeMean","log2FoldChangeMedian","tumor"
"ZNF195",9.49275399519944e-06,0.480628310057775,0.0184005944529445,0.0267788740577152,0.17297213396588,0.686896541923059,227.442622058824,165.024222988506,206.351610204082,190.398246666667,9.18933230840983,6.46810234630834,14.9814011718528,9.24011894292548,175.88635,130.20405,137.3323,144.53535,265.37965,188.81185,236.4718,218.6092,237.266563636364,216.176789807692,228.9811,195.71805,195.66725,256.8491,154.102325,261.126375,10.3791654038505,4.30429547785759,0.911113586737853,0.8547345173903,-0.134297171696208,-0.226451709883312,"HNSC"
"ZNF263",0.0139200217351545,0.119879799926418,4.10883477297563e-06,0.0143161125766671,0.999663875459766,5.38310592856917e-06,631.619285294118,557.809226436782,694.157491836735,555.493512,18.0487738347415,16.1050149135919,25.0351317532826,15.337781397843,520.972625,455.97435,565.2135,456.57475,745.93925,627.3829,756.7122,640.72305,588.740272727273,644.037497307692,568.3472,617.3822,503.662575,683.2816,513.056925,741.4806,19.2676574953644,8.50096453527708,1.09392465088937,1.08627648733028,0.129513369271268,0.119391355565936,"HNSC"
"ZNF200",0.0181629698200519,0.986411423504222,0.0972709320157059,0.736258100135448,0.21336025627684,0.936500674516956,249.449622058824,286.438156321839,254.393471428571,262.726446666667,7.20087232311146,8.8981312418093,11.5688085363279,9.57969757819979,209.781625,231.9876,195.0157,200.84645,271.18145,331.124,297.9637,313.438,161.845868181818,264.804867307692,158.6769,255.0566,134.984525,178.2414,207.918825,310.542225,6.1931834117933,3.55598403516756,1.63615463454532,1.60739590954953,0.710309105216764,0.68472531569387,"HNSC"
"ZNF582",2.3930846193565e-08,0.0104744565034859,0.117935557630494,0.519036551207478,1.76625380987616e-12,7.6803148866933e-05,12.6901955882353,4.23937471264368,7.65825510204082,14.660516,1.39430141410589,0.344123212240037,1.24808550246151,1.11242830899937,4.895575,2.0387,2.7844,8.1898,17.22775,5.9514,8.3748,18.92085,24.5167181818182,9.35938576923077,21.6916,6.2757,15.4489,32.1235,3.2052,11.282175,1.87837875612217,0.436074236160618,0.381755245535749,0.289314757786424,-1.38928011427278,-1.78928817866355,"HNSC"
"ZNF285",0.142478129597273,0.448983623574,0.980542996260514,0.358671474075134,0.000591083089992006,0.0152001979893144,12.4014147058824,8.25087471264368,9.07431020408163,15.6859106666667,1.68177024937749,1.07171199663165,1.45000300034948,1.52920227629961,4.31235,2.2188,2.4953,7.51165,16.252875,8.7133,11.9233,18.2606,23.0243727272727,13.1557594230769,22.1659,7.181,12.95835,29.9892,3.313,16.7107,2.24723916894613,0.817151621412972,0.571384053711644,0.323966092060327,-0.807467321042463,-1.62608527367984,"HNSC"
"ZNF275",7.36332574913234e-07,0.122949855801414,2.71915823191193e-11,0.359954577279198,1.69362301960518e-11,0.870902065985026,514.127008823529,317.561526436782,606.742193877551,575.393912,28.5641631135467,16.3740178710437,43.6464353982756,25.2744175041409,356.438325,196.6124,337.1605,410.0262,613.92315,432.72615,845.2431,692.7053,271.169859090909,422.554947692308,212.37515,368.028,179.750975,332.09445,244.42415,537.955475,24.6919516615655,10.9072432706947,1.55826664920989,1.73291460888903,0.639942127222866,0.793200565999806,"HNSC"
"ZNF37A",2.15929496505396e-11,7.97626743154201e-06,0.493756128329232,5.69810140560456e-06,0.140488618224015,0.965258696550097,456.908004411765,287.371431034483,323.62927755102,336.094449333333,18.3338837307794,11.6854280016824,27.3218689348542,15.802993731569,369.25565,211.4549,205.32,249.11015,549.080025,354.05955,383.1944,393.9424,325.433568181818,328.528931153846,337.2188,301.32665,260.210775,402.6773,216.46205,397.62955,16.4139662543146,8.66499707692465,1.00951150488046,0.893564208163958,0.0136573524122395,-0.162356695255153,"HNSC"
"ZNF510",4.80014301418308e-07,0.00474844453636991,0.461391886288481,0.0045967907861294,0.164052161609944,0.984381265882755,238.267563235294,175.479663218391,193.857820408163,198.470145333333,9.3046435668052,7.21329158528968,10.9351412613115,7.29526602223693,196.7137,128.42225,140.5214,160.9013,269.8149,203.56505,248.6078,214.3058,171.282993181818,185.284188846154,168.29165,175.6974,123.658975,207.98035,132.25195,221.441425,8.89046998695973,3.24103694046322,1.08174305810661,1.04400545125085,0.113357862551068,0.062129244926988,"HNSC"
"ZNF506",0.00890768957433252,0.996526623451286,0.0112373389853516,0.801615171646146,0.100014738087101,0.723473382173277,177.749936764706,123.636208045977,181.969679591837,161.791216,14.6234069778407,8.90705126101892,18.8000191522014,10.7662603775263,76.590825,48.0133,86.5052,85.0684,253.767275,181.8416,237.0865,230.3104,246.999822727273,159.407996923077,246.71335,148.062,206.4163,300.481925,74.69655,228.9245,10.2601148921627,4.67912995534408,0.645376968950657,0.600137771223162,-0.631786000442636,-0.736634362425863,"HNSC"
"ZNF324",0.164198002724594,0.00286144137735744,0.270981940538289,0.00071338254051978,0.187897058427681,0.99998017352272,270.995897058824,244.056054022988,218.119632653061,218.68046,11.4564137476632,8.93789451824476,11.5048055101982,6.89402612664481,207.475175,186.4724,153.4451,183.13785,292.74315,282.907,257.3588,249.904,239.172456818182,239.748343653846,243.46975,231.2504,200.042225,280.986425,186.425175,281.346025,8.72830144630759,3.5112297809354,1.00240783091551,0.949811629576159,0.00346959030197709,-0.0742866740994754,"HNSC"
